Part ID,X mm,Y mm,Z mm,Solid PLA estimate g,Description
B01_open_front_base_240x190,241.0,190.0,90.0,613.62,240x190 nominal floor; actual241x190 envelope includes tab ends. Four M4 screws attach feet; bench anchoring separate. Side-loaded M3 top-post nuts.
B02_structural_lid,240.0,190.0,5.0,267.35,Remove to access drive. Hole Ø42.4 captures upper printed journal bushing.
B03_service_front_panel,230.0,85.0,3.0,68.49,"Removable front panel; shown lying in front. Assembly transform: translation(0,-93.5,5) with no rotation."
B05_lower_journal_support,64.0,62.0,46.0,46.22,Four M3 floor bolts; lower sleeve seat Ø42.3. Printed support carries overturning load.
B06_replaceable_lower_bushing,52.0,52.0,10.0,8.73,Ø32.5 running bore for Ø32 shaft. Trial clearance 0.25 radial.
B07_upper_bushing_and_thrust_ring,90.0,90.0,14.0,28.01,"Replaceable polymer plain bearing, not a ball bearing. Printed thrust surface; friction unmeasured."
B08_printed_hollow_yaw_shaft,76.0,76.0,80.0,131.52,"Ø32 journal; 14 mm cable bore. Radial gap0.25, axial running allowance0.3. No metal shaft."
B17_split_yaw_retaining_collar,48.0,38.0,10.0,4.6,Split printed collar under lower sleeve;0.3 axial gap prevents lifting without clamping the bearing.
B09_yaw_60T_module1p5,92.999,92.999,10.0,61.23,"60 teeth, pitch Ø90, 20° involute. 60 mm centre distance."
B18_yaw_gear_screw_spacer_0,7.0,7.0,0.5,0.02,
B18_yaw_gear_screw_spacer_1,7.0,7.0,0.5,0.02,
B18_yaw_gear_screw_spacer_2,7.0,7.0,0.5,0.02,
B18_yaw_gear_screw_spacer_3,7.0,7.0,0.5,0.02,
B10_rotating_pedestal_deck,160.0,108.0,6.0,123.88,Structural deck 160×108×6; keyed bolt patterns to yaw flange and shoulder stand.
B19_deck_screw_spacer_0,7.0,7.0,0.8,0.03,
B19_deck_screw_spacer_1,7.0,7.0,0.8,0.03,
B19_deck_screw_spacer_2,7.0,7.0,0.8,0.03,
B19_deck_screw_spacer_3,7.0,7.0,0.8,0.03,
J1_BASE_C01_Keyed_motor_cradle,51.2,67.2,39.3,22.75,AX-12A cradle: 0.35 mm per side; 26 mm horn window; 4 M3 posts. Front captive M3 nuts: 5.8 AF x 2.8 mm recess in 9.2 mm diameter bosses. Case is located by corners and front/rear lips; no invented motor-body holes.
J1_BASE_C02_Connector_access_rear_cap,51.2,67.2,4.6,6.74,4.6 mm rear cap; 4 M3 clearance bores matched to cradle. Screws insert from the rear supporting wall and engage front captive nuts. Rear window clears the connector envelope; actual plugs must be checked.
J1_BASE_C04_1_Axial_fit_shim_030,31.9,49.9,0.3,0.12,Removable 0.30 mm printed motor shim. Two nominal shims reduce total designed endplay from 0.70 to 0.10 mm. Adjust only after physical fit measurement; use fine layer height for this part.
J1_BASE_C04_2_Axial_fit_shim_030,31.9,49.9,0.3,0.17,Removable 0.30 mm printed motor shim. Two nominal shims reduce total designed endplay from 0.70 to 0.10 mm. Adjust only after physical fit measurement; use fine layer height for this part.
J1_BASE_C03_1_Screw_stack_spacer,6.8,6.8,1.15,0.04,Printed rear 1.15 mm spacer for standard M3x65 rear-inserted screw; attachment stack depth 20.05 mm.
J1_BASE_C03_2_Screw_stack_spacer,6.8,6.8,1.15,0.04,Printed rear 1.15 mm spacer for standard M3x65 rear-inserted screw; attachment stack depth 20.05 mm.
J1_BASE_C03_3_Screw_stack_spacer,6.8,6.8,1.15,0.04,Printed rear 1.15 mm spacer for standard M3x65 rear-inserted screw; attachment stack depth 20.05 mm.
J1_BASE_C03_4_Screw_stack_spacer,6.8,6.8,1.15,0.04,Printed rear 1.15 mm spacer for standard M3x65 rear-inserted screw; attachment stack depth 20.05 mm.
B11_yaw_20T_pinion,32.999,32.999,21.0,8.51,M2×6 through 4 mm counterbore floor into AX horn (2 mm). External printed Ø8 journal support.
B12_yaw_pinion_journal_support,22.0,40.0,11.0,4.47,Ø8.5 printed bearing bore; 0.25 mm radial gap. Top ears attach underside deck.
B19_pinion_support_screw_spacer_0,7.0,7.0,1.5,0.05,
B19_pinion_support_screw_spacer_1,7.0,7.0,1.5,0.05,
B13_motor_floor_standoff_1,10.0,10.0,15.05,1.29,
B13_motor_floor_standoff_2,10.0,10.0,15.05,1.29,
B13_motor_floor_standoff_3,10.0,10.0,15.05,1.29,
